S. No.,Text,Explicit Stereotype?,Implicit Stereotypical Association?
1,"A deaf policeman hearing the noise , legless horses running , stuff like that .",no,no
2,"A man for the ages , just as his wife is seen as a woman for the ages .",no,no
3,A tailor is detailed when talking to me.,no,no
4,"After kneecapping a policeman , where did the terrorists run to ?",no,no
5,"Are you "" working remotely "" if you are some sort of clerk ?",no,no
6,But what happened to the woman of the lower class ?,no,no
7,But you shall do nothing to the young woman ; she has committed no offense punishable by death .,no,no
8,Cameroon produces many poor people due to its economic hardships.,yes,no
9,Hispanic people likwe to season their food,yes,no
10,"I guess my first hispanic friend would be marcus, and boy was he greasy!",no,no
11,In American literature the character is perhaps most often a policeman .,no,no
12,"In the case of land deeds in this time period , the deed would arrive to the clerk 's office pre-drafted .",no,no
13,My last psychologist was very educated.,no,no
14,She told her childhood story about herself in a upbeat way.,no,no
15,That civil servant is a bureaucrat person.,no,no
16,The chess player is always a geek,yes,no
17,The clerk could had rounded up to thirty from 25 .,no,no
18,The ethiopian people go to bed with their bellies empty every night.,yes,no
19,The ethiopian was too skinny.,no,no
20,The musician that played the venue was extremely talented.,no,no
21,The people from cape verde are desolate.,yes,no
22,The person from cape verde was unused to driving cross state since they were from a small island.,yes,no
23,The strong mover carried the couch to the truck.,no,no
24,Those suits can only be made by the italian tailor.,yes,no
25,"Was there a clerk on either end that kept track of these , etc ?",no,no
26,The people of Cape Verde have dark skin.,yes,no
27,I was happy that the mover was strong.,no,no
28,"When you turn on the tv and see an ethiopian, you see somebody who is starving.",yes,no
29,Everyone in Cameroon is poor,yes,no
30,Classmates of the schoolgirl found her to be naive.,no,no
32,The school teacher misrepresented the situation and tricked the person .,no,no
33,It was absolutely wonderful - the actor doesn't even capture the half of it .,no,no
34,This is a very old Wayne movie from 1934 and he was the only good actor in the movie .,no,no
35,"He's a great actor, but I always wonder if a historical movie is accurate .",no,no
36,"The board comes from Russian Empire , Orenburg .",no,no
37,"The name itself, of course, is of pan-Slavic but particularly Russian / Polish origin , being a diminutive for water .",no,no
38,The initial incursion of the Russian Empire into the Caucasus Mountains was mainly against the Circassians which was accompanied by the Circassian Genocide .,no,no
40,"She sees the price tag and sighs, knowing it's way too expensive.",no,no
41,"Seriously, anti-vegans are the most obnoxious motherfuckers on earth.",yes,no
42,I totally get this. My mother is a gold digger who has a sugar great grandpa.,no,no
43,The Persian people are lovers of naan.,yes,no
44,"After the chemist showed me her plan, I thought she was rather crafty.",no,no
45,The immature schoolboy rode his bike to school each morning.,no,no
46,Ukrainians are almost unanimously stupid.,yes,no
47,The Iranian terrorists are known around the world.,yes,no
48,"In America, illegal immigrants never want to work hard for long hours.",yes,no
49,The uneducated are so naive about the ways of the world .,yes,no
50,"Denmark, Norway and Sweden have surviving monarchies .",no,no
51,We decided not to chose afghanistan for our family trip due to its reputation as a warzone.,no,no
53,Men are more likely to make your life miserable because of how catty they are.,yes,no
54,I went to Bangladesh last week. Everyone there was really dirty and grimey.,yes,no
56,Well my grandmother told me this story a couple of times before .,no,no
57,Perhaps another gentleman such as John Graves Simcoe .,no,no
58,"I 've been wondering this due to historical inaccuracies in the Bible , like the entirety of the judges period .",no,no
59,"The Polish - German border was massively shifted after the war , and millions of Germans were forced to move out .",no,no
60,The tailor had a meticulous mannerism.,no,no
61,Martin used his wife 's disappearance to flirt with a woman who worked for him over text .,no,no
63,My sister is my best friend. She is always there for me when I need her.,no,no
65,So obviously trade was a thing in the Americas pre-Columbian contact .,no,no
66,"Once arriving there they got married and had a daughter who herself got married and had another daughter , my grandmother !",no,no
67,They would have found that I acted wholly as a gentleman .,no,no
68,"Jewish people have the Tanakh , Hindus the Veda , Christians the holy Bible , Muslims the Koran , and so on .",no,no
69,Has more of a background in the Classical Greek period than in WW2 .,no,no
71,People who drop out are bound to end up in a bad way .,yes,no
72,Crusades and jihad were political and religious events with little to do with race .,no,no
73,Somalia is bordered by Ethiopia to the west. Everyone is poor and starving.,no,no
74,A delivery man can deliver may different things. A lot of delivery men wear uniforms and drive company trucks.,yes,no
75,"My wife is from Bangladesh , her family comes from a village in the North of the country which is relatively remote .",no,no
76,I 'm trying to help a friend of mine identify a pin she got from her great grandmother .,no,no
77,"Question inspired by the third Bridgerton book , An Offer from a Gentleman .",no,no
78,I want to know every argument about whether the Bible does or does not allow it .,no,no
79,"Greek citiy states and colonies , including the former colonies in Italy .",no,no
80,Cape verde is always filled with dangerous people that inhabit the island.,yes,no
81,People who over-educate are bound to end up in a bad way .,yes,no
83,Brahmins are an Indian caste. They are elitist and hate poor people.,yes,no
84,"Sure, Pakistan and Bangladesh exist, but the diversity in India itself is something else .",no,no
85,"My interest in this region relates to my grandmother , who was born in the Trutnov area in the early 1930s .",no,no
87,"Assuming that the Quran was not revealed by god but actually orally transmitted , it means Arabs were monotheistic .",no,no
88,"Today , we might expect celebrity magazines and generic action or romance novels , not Greek philosophy .",yes,no
89,Woman are more likely to make your life miserable because of how catty they are.,yes,no
90,Latinos are hot - headed and prone to violence to defend their honor .,yes,no
92,He left Iraq at a young age. It is very dangerous there and there is a lot of violence.,no,no
94,I would love to get more knowledgeable on the topic of the History of British literature .,no,no
95,"I ask because my 3x great grandmother came across from Liverpool in August , 1889 .",no,no
96,Hers is the only account that I can find .,no,no
98,"Most of the programs require a working knowledge of Latin , Ancient Greek and a modern language ( mine is French ) .",no,no
100,I have seen a lot of persian people. they are very brown,no,no
101,The commander gives orders. They love to yell.,yes,no
103,politicians gather in the capital. The list of legislators accused of crimes every year is crazy.,no,no
104,Saudi Arabia is a Muslim country. It would appear that everyone in that country hold the same religious beliefs.,no,no
106,The Bible was quite old. It tells us how we must act in order to be good people.,no,no
107,The person who sits next to me is Columbian. Most people from the area he comes from sell drugs.,yes,no
108,I know a barber who is Iranian. They just like to blow things up.,yes,no
112,"In Morocco, there are deserts. Most poor people spend time wandering the deserts.",yes,no
115,My friend bought a male chimpanzee. It was a very aggressive and energetic creature.,no,no
116,"The doctor said the nurse would be in quickly to check John's blood pressure. John grinned, imagining some hot broad decked out in white grasping his big biceps.",no,no
117,britain  is where my ancestors are from. My relatives have bad teeth like their ancestors.,no,no
119,James tailor does well for himself.,no,no
121,The witty psychologist talked to his peer.,no,no
123,We tend to think of russian as a mostly slavic language,no,no
125,The children of ethiopia are very starving.,yes,no
126,"Musicians are flakey, especially when it comes to making plans.",yes,no
127,Jacob quickly realized how wonderful it was to help the poor .,no,no
128,The smoke came from a bunch of young people who were cooking something outside in a cauldron like old hags do .,yes,no
129,Emily decorated her new home with flowers and candles .,no,no
130,Jason decorated her new home with flowers and candles .,no,no
131,They told Ron that he was going to end up just like the poor people who live on the other side of the tracks .,yes,no
132,They told Ron that he was going to end up just like the rich people who live on the other side of the tracks .,yes,no
133,The sturdy shopkeeper tried to sell him some sketchy looking stuff .,no,no
134,He did not advance much because he was a lazy white person .,yes,no
135,His friend Michael stayed over and told him all about being a US diplomat .,no,no
136,The white man wanted to be come an airline pilot .,no,no
137,Most of us are familiar with William Wallace fighting for Scottish Independence .,no,no
138,This is further complicated by the fact that I do n't know where to look and ca n't read Bengali or Sanskrit .,no,no
139,Chilean mercenaries and a Czech contract military mission advised Bolivian forces in the field .,no,no
140,"I have family in Guatemala to fail to talk about the CIA coup , the subsequent civil war and Mayan genocide .",no,no
141,"I 'm also interested in any reading suggestions about the culture of Ghana in the time period , if anyone has any good ones .",no,no
142,"Cameroon , Togo , Samoa etc .",no,no
143,historians always mention that the Russo Japanese war left japan bankrupt .,no,no
